user_id,contact_name,total_amount,gender,state,email,age,status,average_time,amount_items_bought
1,Joe,955,male,NY,Joe@gmail.com,64,single,36,2
2,Richard,644,male,CO,Richard@gmail.com,69,married,84,4
3,Manny,272,male,MD,Manny@gmail.com,51,married,93,1
4,Jose,990,male,OK,Jose@gmail.com,45,married,61,2
5,Jesse,902,male,FL,Jesse@gmail.com,36,single,67,2
6,Tina,877,female,KY,Tina@gmail.com,29,single,90,1
7,Trish,162,female,HI,Trish@gmail.com,21,married,72,2
8,Jon,459,male,TX,Jon@gmail.com,47,single,65,5
9,Gloria,52,female,RI,Gloria@gmail.com,31,single,34,2
10,Claire,836,female,NC,Claire@gmail.com,66,married,15,2
11,Haley,605,female,WA,Haley@gmail.com,61,married,82,4
12,Aribah,416,female,KY,Aribah@gmail.com,28,married,91,4
13,Michael,409,male,LA,Michael@gmail.com,63,single,58,5
14,Vinny,255,male,TN,Vinny@gmail.com,65,single,109,2
15,Trent,840,male,NV,Trent@gmail.com,59,married,84,3
16,Aidan,50,male,VT,Aidan@gmail.com,42,single,73,2
17,Madison,101,female,NM,Madison@gmail.com,47,married,23,4
18,Jessica,421,female,RI,Jessica@gmail.com,42,single,64,4
19,Irma,83,female,CA,Irma@gmail.com,51,single,25,2
20,Jesus,499,male,CA,Jesus@gmail.com,62,single,75,5
21,Irene,945,female,CA,Irene@gmail.com,26,married,114,1
22,Cristina,217,female,CA,Cristina@gmail.com,36,married,116,5
23,Sammy,562,female,OR,Sammy@gmail.com,55,single,11,3
24,Isaac,658,male,OR,Isaac@gmail.com,28,married,76,2
25,Victoria,254,female,OR,Victoria@gmail.com,41,married,118,2
26,Nico,379,male,TX,Nico@gmail.com,50,married,100,5
27,Rocco,480,male,NC,Rocco@gmail.com,58,single,109,5
28,Mirta,300,female,NC,Mirta@gmail.com,69,single,47,5
29,Mariana,522,female,SC,Mariana@gmail.com,61,single,86,1
30,Jerry,815,male,MA,Jerry@gmail.com,51,married,102,1
31,Sean,921,male,PA,Sean@gmail.com,62,married,73,4
32,Chase,897,male,AL,Chase@gmail.com,66,married,95,2
33,Luna,991,female,NJ,Luna@gmail.com,39,married,22,3
34,Harry,625,male,OH,Harry@gmail.com,59,married,59,5
35,Ron,72,male,NE,Ron@gmail.com,51,single,37,1
36,Hermoine,348,female,MA,Hermoine@gmail.com,53,single,102,3
37,Drake,794,male,DE,Drake@gmail.com,27,married,85,3
38,Josh,636,male,DE,Josh@gmail.com,33,single,110,4
39,Megan,237,female,ID,Megan@gmail.com,31,married,23,5
40,Adrian,631,male,ND,Adrian@gmail.com,64,single,112,1
41,Bella,58,female,WY,Bella@gmail.com,55,single,26,1
42,Samantha,819,female,MI,Samantha@gmail.com,31,single,51,5
43,Samar,782,female,NM,Samar@gmail.com,46,single,93,1
44,Sammie,996,female,DE,Sammie@gmail.com,42,married,18,2
45,Fred,337,male,MA,Fred@gmail.com,36,single,82,3
46,Carly,991,female,CT,Carly@gmail.com,29,married,113,1
47,Sam,579,female,MD,Sam@gmail.com,45,married,103,2
48,Sammee,933,female,NJ,Sammee@gmail.com,50,single,39,2
49,Jose,739,male,IA,Jose@gmail.com,60,married,67,2
50,Juan,560,male,CA,Juan@gmail.com,60,single,64,4
51,Ray,510,male,IA,Ray@gmail.com,32,single,68,3
52,Dom,585,male,OH,Dom@gmail.com,25,single,75,5
53,Jared,443,male,SD,Jared@gmail.com,31,married,10,5
54,Evelyn,901,female,PA,Evelyn@gmail.com,66,married,115,2
55,Eric,276,male,MA,Eric@gmail.com,29,single,28,2
56,Kennis,693,male,WV,Kennis@gmail.com,35,married,39,1
57,David,594,male,WA,David@gmail.com,61,single,56,1
58,Cindy,130,female,AR,Cindy@gmail.com,29,single,102,3
59,Paris,120,female,WV,Paris@gmail.com,62,married,45,2
60,Veronica,399,female,SD,Veronica@gmail.com,50,single,96,2
61,Julio,168,male,MD,Julio@gmail.com,33,single,83,5
62,Ben,702,male,NH,Ben@gmail.com,32,single,17,5
63,Daniel,42,male,OH,Daniel@gmail.com,62,single,80,1
64,Danielle,481,female,OK,Danielle@gmail.com,27,married,55,5
65,Brielle,82,female,FL,Brielle@gmail.com,56,married,115,4
66,Lois,213,female,OH,Lois@gmail.com,43,single,107,5
67,KJ,768,male,NH,KJ@gmail.com,27,married,82,1
68,Kyle,642,male,NH,Kyle@gmail.com,40,single,49,4
69,Max,675,male,AL,Max@gmail.com,28,married,49,3
70,Rebecca,300,female,NC,Rebecca@gmail.com,45,married,26,4
71,Grace,5,female,VT,Grace@gmail.com,48,married,82,4
